coupon_code,discount_type,coupon_amount,product_ids,usage_limit,free_shipping,individual_use,coupon_category
EL4KG9392443,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG5906459,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG4859217,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG9182558,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG9574861,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG5273546,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG0411637,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG6286655,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG2429862,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG8073467,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG8073549,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG4183106,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG7773357,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG8609160,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG7398087,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG6064834,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG8429699,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG5110856,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG2365475,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG7198883,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG4993295,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG0633972,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG4167010,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG5773032,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG5303700,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG7393307,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG1231742,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG7135306,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG7544558,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG9968688,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG7395690,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG7728886,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG8962749,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG1271375,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG2731345,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG0792772,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG5210476,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG5621320,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG5001322,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG6204482,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG2813596,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG9214324,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG6353059,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG0492814,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG8299317,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG8191062,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG5599356,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG3458362,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG0113672,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG3437730,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG2318246,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG3215382,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG6355701,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG3490398,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG2385730,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG7668754,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG1439985,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG8358444,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG8686275,fixed_cart,0,339,1,yes,yes,Tester Program
EL4KG4599664,fixed_cart,0,339,1,yes,yes,Tester Program
